分類,配信内容,配信日,No.,曲名,歌手名,リンク,甲斐田歌唱,コラボライバー,演奏
弾き語り,弾き語り配信,2021/11/09,8,地球最後の告白を,kemu,https://youtu.be/_oUOLMhpKxU?t=3172,TRUE,,
弾き語り,弾き語り配信,2021/11/09,9,シルシ,LiSA,https://youtu.be/_oUOLMhpKxU?t=3658,TRUE,,
弾き語り,弾き語り配信,2021/11/09,10,さよならのかわりに,レフティモンスターＰ,https://youtu.be/_oUOLMhpKxU?t=4246,TRUE,,
弾き語り,弾き語り配信,2021/11/09,11,サニーデイ,ラックライフ,https://youtu.be/_oUOLMhpKxU?t=4810,TRUE,,
弾き語り,弾き語り配信,2021/11/09,12,猫,DISH//,https://youtu.be/_oUOLMhpKxU?t=6991,TRUE,,
音源協力,オケ制作,2021/11/11,1,DANCE2 feat.ソイソース,ORANGE RANGE,https://youtu.be/At_bpHmXMVY,FALSE,本間ひまわり,
弾き語り,弾き語り配信,2021/11/16,1,決意の朝に,Aqua Timez,https://youtu.be/LYE47akA078?t=300,TRUE,,
弾き語り,弾き語り配信,2021/11/16,2,正解はひとつ!じゃない!!,ミルキィホームズ,https://youtu.be/LYE47akA078?t=675,TRUE,,
弾き語り,弾き語り配信,2021/11/16,3,Q＆Aリサイタル!,戸松遥,https://youtu.be/LYE47akA078?t=949,TRUE,,
弾き語り,弾き語り配信,2021/11/16,4,READY STEADY GO,L'Arc~en~Ciel,https://youtu.be/LYE47akA078?t=1490,TRUE,,
弾き語り,弾き語り配信,2021/11/16,5,メリッサ,ポルノグラフィティ,https://youtu.be/LYE47akA078?t=1944,TRUE,,
弾き語り,弾き語り配信,2021/11/16,6,閃光,[Alexandros],https://youtu.be/LYE47akA078?t=2494,TRUE,,
弾き語り,弾き語り配信,2021/11/16,7,小さきもの,林明日香,https://youtu.be/LYE47akA078?t=3103,TRUE,,
弾き語り,弾き語り配信,2021/11/16,8,Together,あきよしふみえ,https://youtu.be/LYE47akA078?t=3590,TRUE,,
弾き語り,弾き語り配信,2021/11/16,9,恋のかけら,"MEZZO""",https://youtu.be/LYE47akA078?t=4206,TRUE,,
弾き語り,弾き語り配信,2021/11/16,10,あんなに一緒だったのに,See-Saw,https://youtu.be/LYE47akA078?t=4671,TRUE,,
弾き語り,弾き語り配信,2021/11/16,11,Reason,玉置成実,https://youtu.be/LYE47akA078?t=4800,TRUE,,
弾き語り,弾き語り配信,2021/11/16,12,Sign,FLOW,https://youtu.be/LYE47akA078?t=5177,TRUE,,
弾き語り,弾き語り配信,2021/11/16,13,newsong,tacica,https://youtu.be/LYE47akA078?t=5341,TRUE,,
弾き語り,弾き語り配信,2021/11/16,14,"Hello,future contact!",内田真礼,https://youtu.be/LYE47akA078?t=6197,TRUE,,
弾き語り,弾き語り配信,2021/11/16,15,激動,UVERworld,https://youtu.be/LYE47akA078?t=6594,TRUE,,
弾き語り,弾き語り配信,2021/11/16,16,君色シグナル,春奈るな,https://youtu.be/LYE47akA078?t=6730,TRUE,,
弾き語り,弾き語り配信,2021/11/16,17,Lily,ラックライフ,https://youtu.be/LYE47akA078?t=7262,TRUE,,
"弾き語り, メン限",メン限（弾き語り）,2021/11/23,,（メン限）,,https://www.youtube.com/live/S0u4aWOyONc?si=v9hGyQLP-wQyiD5H,,,
弾き語り,弾き語り配信,2021/12/08,1,君に届け,flumpool,https://youtu.be/fptuRJXec5E?t=530,TRUE,,
弾き語り,弾き語り配信,2021/12/08,2,１・２・３,After the Rain,https://youtu.be/fptuRJXec5E?t=946,TRUE,,
弾き語り,弾き語り配信,2021/12/08,3,はじめてのチュウ,あんしんパパ,https://youtu.be/fptuRJXec5E?t=1516,TRUE,,
弾き語り,弾き語り配信,2021/12/08,4,First Love,宇多田ヒカル,https://youtu.be/fptuRJXec5E?t=1915,TRUE,,
弾き語り,弾き語り配信,2021/12/08,5,ユメセカイ,戸松遥,https://youtu.be/fptuRJXec5E?t=2291,TRUE,,
弾き語り,弾き語り配信,2021/12/08,6,星の唄,buzzG,https://youtu.be/fptuRJXec5E?t=2671,TRUE,,
弾き語り,弾き語り配信,2021/12/08,7,Booo!,TOKOTOKO(西沢さんP),https://youtu.be/fptuRJXec5E?t=3011,TRUE,,
弾き語り,弾き語り配信,2021/12/08,8,夜もすがら君想ふ,TOKOTOKO(西沢さんP),https://youtu.be/fptuRJXec5E?t=3193,TRUE,,
弾き語り,弾き語り配信,2021/12/08,9,ローリンガール,wowaka,https://youtu.be/fptuRJXec5E?t=3878,TRUE,,
弾き語り,弾き語り配信,2021/12/08,10,Phantom Joke,UNISON SQUARE GARDEN,https://youtu.be/fptuRJXec5E?t=4247,TRUE,,
弾き語り,弾き語り配信,2021/12/08,11,ジェットロケット,LiSA,https://youtu.be/fptuRJXec5E?t=4408,TRUE,,
弾き語り,弾き語り配信,2021/12/08,12,廻廻奇譚,Eve,https://youtu.be/fptuRJXec5E?t=4924,TRUE,,
弾き語り,弾き語り配信,2021/12/08,13,うまぴょい伝説,ウマ娘,https://youtu.be/fptuRJXec5E?t=5568,TRUE,,
弾き語り,弾き語り配信,2021/12/08,14,StaRt,Mrs.GREEN APPLE,https://youtu.be/fptuRJXec5E?t=5888,TRUE,,
弾き語り,弾き語り配信,2021/12/08,15,かくれんぼ,AliA,https://youtu.be/fptuRJXec5E?t=6084,TRUE,,
弾き語り,弾き語り配信,2021/12/08,16,火炎,女王蜂,https://youtu.be/fptuRJXec5E?t=6558,TRUE,,
弾き語り,弾き語り配信,2021/12/08,17,Ghost of a smile,EGOIST,https://youtu.be/fptuRJXec5E?t=7175,TRUE,,
弾き語り,弾き語り配信,2021/12/20,1,粉雪,レミオロメン,https://youtu.be/3lmV4TZIItA?t=446,TRUE,,
弾き語り,弾き語り配信,2021/12/20,2,恋愛サーキュレーション,千石撫子(花澤香菜),https://youtu.be/3lmV4TZIItA?t=842,TRUE,,
弾き語り,弾き語り配信,2021/12/20,3,ヒカリ,樹海,https://youtu.be/3lmV4TZIItA?t=1257,TRUE,,
弾き語り,弾き語り配信,2021/12/20,4,from Y to Y,ジミーサムP,https://youtu.be/3lmV4TZIItA?t=1548,TRUE,,
弾き語り,弾き語り配信,2021/12/20,5,THE OVER,UVERworld,https://youtu.be/3lmV4TZIItA?t=2013,TRUE,,
弾き語り,弾き語り配信,2021/12/20,6,創聖のアクエリオン,AKINO,https://youtu.be/3lmV4TZIItA?t=2841,TRUE,,
弾き語り,弾き語り配信,2021/12/20,7,カブトムシ,Aiko,https://youtu.be/3lmV4TZIItA?t=3809,TRUE,,
弾き語り,弾き語り配信,2021/12/20,8,Tell Your World,kz,https://youtu.be/3lmV4TZIItA?t=4203,TRUE,,
弾き語り,弾き語り配信,2021/12/20,9,ヒトリゴト,ClariS,https://youtu.be/3lmV4TZIItA?t=4579,TRUE,,
弾き語り,弾き語り配信,2021/12/20,10,夜空ノムコム,SMAP,https://youtu.be/3lmV4TZIItA?t=5559,TRUE,,
弾き語り,弾き語り配信,2021/12/27,1,クリスマス・イブ,山下達郎,https://youtu.be/8nJciMTmtp8?t=385,TRUE,,
弾き語り,弾き語り配信,2021/12/27,2,世界は恋に落ちている,CHiCO with HoneyWorks,https://youtu.be/8nJciMTmtp8?t=780,TRUE,,
弾き語り,弾き語り配信,2021/12/27,3,瓦礫の塔,kemu,https://youtu.be/8nJciMTmtp8?t=1176,TRUE,,
弾き語り,弾き語り配信,2021/12/27,4,アスノヨゾラ哨戒班,Orangestar,https://youtu.be/8nJciMTmtp8?t=1574,TRUE,,
弾き語り,弾き語り配信,2021/12/27,5,メルト,ryo(supercell),https://youtu.be/8nJciMTmtp8?t=2029,TRUE,,
弾き語り,弾き語り配信,2021/12/27,6,君の知らない物語,supercell,https://youtu.be/8nJciMTmtp8?t=2370,TRUE,,
弾き語り,弾き語り配信,2021/12/27,7,神っぽいな,ピノキオピー,https://youtu.be/8nJciMTmtp8?t=3538,TRUE,,
弾き語り,弾き語り配信,2021/12/27,8,ぼなぺてぃーと♡Ｓ,ブレンド・Ａ,https://youtu.be/8nJciMTmtp8?t=4231,TRUE,,
弾き語り,弾き語り配信,2021/12/27,9,ハレ晴レユカイ Ver.キョン,キョン(杉田智和),https://youtu.be/8nJciMTmtp8?t=4773,TRUE,,
弾き語り,弾き語り配信,2021/12/27,10,寝・に・げでリセット！,柊つかさ(福原香織),https://youtu.be/8nJciMTmtp8?t=5172,TRUE,,
弾き語り,弾き語り配信,2021/12/27,11,耳の聞こえなくなった恋人とそのうたうたい,大石昌良,https://youtu.be/8nJciMTmtp8?t=5566,TRUE,,
弾き語り,弾き語り配信,2021/12/27,12,からくりピエロ,40mP,https://youtu.be/8nJciMTmtp8?t=6135,TRUE,,
弾き語り,弾き語り配信,2021/12/27,13,Virtual to LIVE,にじさんじ,https://youtu.be/8nJciMTmtp8?t=6667,TRUE,,
弾き語り,弾き語り配信,2022/01/07,1,神のまにまに,れるりり,https://youtu.be/1LsZdruN-tc?t=534,TRUE,,
弾き語り,弾き語り配信,2022/01/07,2,StaRt,Mrs.GREEN APPLE,https://youtu.be/1LsZdruN-tc?t=857,TRUE,,
弾き語り,弾き語り配信,2022/01/07,3,砂の惑星,ハチ,https://youtu.be/1LsZdruN-tc?t=1371,TRUE,,
弾き語り,弾き語り配信,2022/01/07,4,世界はまだ始まってすらいない,ワンダーランズ×ショータイム / ピノキオピー,https://youtu.be/1LsZdruN-tc?t=1741,TRUE,,
弾き語り,弾き語り配信,2022/01/07,5,猫,DISH//,https://youtu.be/1LsZdruN-tc?t=2070,TRUE,,
弾き語り,弾き語り配信,2022/01/07,6,UNION,OxT,https://youtu.be/1LsZdruN-tc?t=2618,TRUE,,
弾き語り,弾き語り配信,2022/01/07,7,オトモダチフィルム,オーイシマサヨシ,https://youtu.be/1LsZdruN-tc?t=2759,TRUE,,
弾き語り,弾き語り配信,2022/01/07,8,楽園都市,オーイシマサヨシ,https://youtu.be/1LsZdruN-tc?t=2887,TRUE,,
弾き語り,弾き語り配信,2022/01/07,9,いのちの名前,木村弓,https://youtu.be/1LsZdruN-tc?t=3151,TRUE,,
弾き語り,弾き語り配信,2022/01/07,10,いつも何度でも,木村弓,https://youtu.be/1LsZdruN-tc?t=3473,TRUE,,
弾き語り,弾き語り配信,2022/01/07,11,Mela!,緑黄色社会,https://youtu.be/1LsZdruN-tc?t=4148,TRUE,,
弾き語り,弾き語り配信,2022/01/07,12,Real Face,KAT-TUN,https://youtu.be/1LsZdruN-tc?t=4692,TRUE,,
弾き語り,弾き語り配信,2022/01/07,13,Happiness,嵐,https://youtu.be/1LsZdruN-tc?t=5225,TRUE,,
弾き語り,弾き語り配信,2022/01/07,14,Love so sweet,嵐,https://youtu.be/1LsZdruN-tc?t=5383,TRUE,,
弾き語り,弾き語り配信,2022/01/07,15,らいおんハート,SMAP,https://youtu.be/1LsZdruN-tc?t=5804,TRUE,,
弾き語り,弾き語り配信,2022/01/07,16,慎吾ママのおはロック,慎吾ママ,https://youtu.be/1LsZdruN-tc?t=5980,TRUE,,
弾き語り,弾き語り配信,2022/01/07,17,硝子の少年,KinKi Kids,https://youtu.be/1LsZdruN-tc?t=6258,TRUE,,
弾き語り,弾き語り配信,2022/01/07,18,明日への扉,I WiSH,https://youtu.be/1LsZdruN-tc?t=6912,TRUE,,
弾き語り,弾き語り配信,2022/01/07,19,Ti Amo,EXILE,https://youtu.be/1LsZdruN-tc?t=7143,TRUE,,
弾き語り,弾き語り配信,2022/01/07,20,PIECES OF A DREAM,CHEMISTRY,https://youtu.be/1LsZdruN-tc?t=7412,TRUE,,
弾き語り,弾き語り配信,2022/01/07,21,ニア,夏代孝明,https://youtu.be/1LsZdruN-tc?t=8290,TRUE,,
音源協力,音源制作,2022/01/26,1,しいかわ,,https://youtu.be/uw7thQih1_w,FALSE,椎名唯華,
"メン限, アコギ以外",メン限（鍵盤弾く）,2022/02/05,1,（メン限）,,https://www.youtube.com/live/vnWs0URgvPw?si=BG0IG5ZGXtPzbOEI,,,
弾き語り,マイクラ配信,2022/02/20,1,ドライフラワー,優里,https://youtu.be/zczQPpqXhzY?t=12806,TRUE,,
弾き語り,弾き語り配信,2022/02/23,1,少女レイ,みきとＰ,https://youtu.be/aJIU6IctNr4?t=663,TRUE,,
弾き語り,弾き語り配信,2022/02/23,2,"New street, New world",ROF-MAO,https://youtu.be/aJIU6IctNr4?t=1011,TRUE,,
弾き語り,弾き語り配信,2022/02/23,3,地球最後の告白を,kemu,https://youtu.be/aJIU6IctNr4?t=1274,TRUE,,
弾き語り,弾き語り配信,2022/02/23,4,ジャンキーナイトタウンオーケストラ,すりぃ,https://youtu.be/aJIU6IctNr4?t=1715,TRUE,,
弾き語り,弾き語り配信,2022/02/23,5,しわ,buzzG,https://youtu.be/aJIU6IctNr4?t=1870,TRUE,,
弾き語り,弾き語り配信,2022/02/23,6,from Y to Y,ジミーサムＰ,https://youtu.be/aJIU6IctNr4?t=2418,TRUE,,
弾き語り,弾き語り配信,2022/02/23,7,太陽の楽園～Promise Land～,神戸みゆき,https://youtu.be/aJIU6IctNr4?t=2990,TRUE,,
弾き語り,弾き語り配信,2022/02/23,8,今好きになる。,HoneyWorks,https://youtu.be/aJIU6IctNr4?t=3797,TRUE,,
弾き語り,弾き語り配信,2022/02/23,9,ヒカリ,樹海,https://youtu.be/aJIU6IctNr4?t=4280,TRUE,,
弾き語り,弾き語り配信,2022/02/23,10,神っぽいな,キノピオピー,https://youtu.be/aJIU6IctNr4?t=5296,TRUE,,
弾き語り,弾き語り配信,2022/02/28,,アスノヨゾラ哨戒班,Orangestar,https://youtu.be/JJNY45yWTA0?t=494,TRUE,,
弾き語り,弾き語り配信,2022/02/28,,3月9日,レミオロメン,https://youtu.be/JJNY45yWTA0?t=886,TRUE,,
弾き語り,弾き語り配信,2022/02/28,,ニホンノミカタ -ネバダカラキマシタ-,矢島美容室,https://youtu.be/JJNY45yWTA0?t=1457,TRUE,,
弾き語り,弾き語り配信,2022/02/28,,only my railgun,flipSide,https://youtu.be/JJNY45yWTA0?t=1910,TRUE,,
弾き語り,弾き語り配信,2022/02/28,,ワールド・ランプシェード,buzzG,https://youtu.be/JJNY45yWTA0?t=2526,TRUE,,
弾き語り,弾き語り配信,2022/02/28,,瓦礫の塔,kemu,https://youtu.be/JJNY45yWTA0?t=3171,TRUE,,
弾き語り,弾き語り配信,2022/02/28,,CHE.R.RY,YUI,https://youtu.be/JJNY45yWTA0?t=3964,TRUE,,
弾き語り,弾き語り配信,2022/02/28,,My Generation,YUI,https://youtu.be/JJNY45yWTA0?t=4230,TRUE,,
弾き語り,弾き語り配信,2022/02/28,,Rolling star,YUI,https://youtu.be/JJNY45yWTA0?t=4326,TRUE,,
弾き語り,弾き語り配信,2022/02/28,,ETERNAL BLAZE,水樹奈々,https://youtu.be/JJNY45yWTA0?t=4614,TRUE,,
弾き語り,弾き語り配信,2022/02/28,,カサブタ,千綿ヒデノリ,https://youtu.be/JJNY45yWTA0?t=5290,TRUE,,
弾き語り,弾き語り配信,2022/03/07,,ハナミズキ,一青窈,https://youtu.be/M1W0SD_n8Co?t=255,TRUE,,
弾き語り,弾き語り配信,2022/03/07,,さくら,森山直太朗,https://youtu.be/M1W0SD_n8Co?t=886,TRUE,,
弾き語り,弾き語り配信,2022/03/07,,僕たちの歌,佐香智久,https://youtu.be/M1W0SD_n8Co?t=1424,TRUE,,
弾き語り,弾き語り配信,2022/03/07,,片翼のイカロス,榊原ゆい,https://youtu.be/M1W0SD_n8Co?t=1974,TRUE,,
弾き語り,弾き語り配信,2022/03/07,,シネマ,Vivid BAD SQUAD / Ayase,https://youtu.be/M1W0SD_n8Co?t=2238,TRUE,,
弾き語り,弾き語り配信,2022/03/07,,少女レイ,みきとＰ,https://youtu.be/M1W0SD_n8Co?t=2400,TRUE,,
弾き語り,弾き語り配信,2022/03/07,,GLAMOROUS SKY,中島美嘉,https://youtu.be/M1W0SD_n8Co?t=2594,TRUE,,
弾き語り,弾き語り配信,2022/03/07,,光るなら,Goose house,https://youtu.be/M1W0SD_n8Co?t=3172,TRUE,,
弾き語り,弾き語り配信,2022/03/07,,チカっとチカ千花っ,藤原千花(小原好美),https://youtu.be/M1W0SD_n8Co?t=6499,TRUE,,
弾き語り,弾き語り配信,2022/03/07,,motto☆派手にね！,戸松遥,https://youtu.be/M1W0SD_n8Co?t=4109,TRUE,,
弾き語り,弾き語り配信,2022/03/07,,アイドル活動！,わか・ふうり・ゆな from STAR☆ANIS,https://youtu.be/M1W0SD_n8Co?t=4439,TRUE,,
弾き語り,弾き語り配信,2022/03/07,,君じゃなきゃダメみたい,オーイシマサヨシ,https://youtu.be/M1W0SD_n8Co?t=5275,TRUE,,
音源協力,コーラス参加,2022/03/11,,Wonder NeverLand,にじさんじ,https://youtu.be/O15vLShhY44?t=3263,FALSE,健屋花那,
"非公開, 弾き語り",弾き語り配信,2022/03/14,1,め組のひと,ラッツ＆スター,https://youtu.be/QltJ_fazJMw?t=360,TRUE,,
"非公開, 弾き語り",弾き語り配信,2022/03/14,2,星間飛行,ランカ・リー(中島愛),https://youtu.be/QltJ_fazJMw?t=823,TRUE,,
"非公開, 弾き語り",弾き語り配信,2022/03/14,3,等身大のラブソング,Aqua Timez,https://youtu.be/QltJ_fazJMw?t=1167,TRUE,,
"非公開, 弾き語り",弾き語り配信,2022/03/14,4,決意の朝に,Aqua Timez,https://youtu.be/QltJ_fazJMw?t=1588,TRUE,,
"非公開, 弾き語り",弾き語り配信,2022/03/14,5,閃光,[Alexandros],https://youtu.be/QltJ_fazJMw?t=2071,TRUE,,
"非公開, 弾き語り",弾き語り配信,2022/03/14,6,エウテルペ,EGOIST,https://youtu.be/QltJ_fazJMw?t=2389,TRUE,,
"非公開, 弾き語り",弾き語り配信,2022/03/14,7,My Dearest,supercell,https://youtu.be/QltJ_fazJMw?t=2629,TRUE,,
"非公開, 弾き語り",弾き語り配信,2022/03/14,8,Pretender,Official髭男dism,https://youtu.be/QltJ_fazJMw?t=2847,TRUE,,
"非公開, 弾き語り",弾き語り配信,2022/03/14,9,fantastic dreamer,Machico,https://youtu.be/QltJ_fazJMw?t=3245,TRUE,,
"非公開, 弾き語り",弾き語り配信,2022/03/14,10,ロマンスの神様,広瀬香美,https://youtu.be/QltJ_fazJMw?t=3553,TRUE,,
"非公開, 弾き語り",弾き語り配信,2022/03/14,11,ペダルハート,DECO*27,https://youtu.be/QltJ_fazJMw?t=3721,TRUE,,
"弾き語り, 非公開",弾き語り配信,2022/04/01,1,"One more time, One more chance",山崎まさよし,https://youtu.be/rU8jxgTkGrk?t=554,TRUE,,
"弾き語り, 非公開",弾き語り配信,2022/04/01,,小夜子,みきとＰ,https://youtu.be/rU8jxgTkGrk?t=1119,TRUE,,
"弾き語り, 非公開",弾き語り配信,2022/04/01,,サニーデイ,ラックライフ,https://youtu.be/rU8jxgTkGrk?t=1456,TRUE,,
"弾き語り, 非公開",弾き語り配信,2022/04/01,,心拍数＃0822,蝶々Ｐ,https://youtu.be/rU8jxgTkGrk?t=1909,TRUE,,
"弾き語り, 非公開",弾き語り配信,2022/04/01,,ダイアモンド クレバス,シェリル・ノーム starring May'n,https://youtu.be/rU8jxgTkGrk?t=2380,TRUE,,
"弾き語り, 非公開",弾き語り配信,2022/04/01,,StaRt,Mrs.GREEN APPLE,https://youtu.be/rU8jxgTkGrk?t=2913,TRUE,,
"弾き語り, 非公開",弾き語り配信,2022/04/01,,リンネ,ハチ,https://youtu.be/rU8jxgTkGrk?t=3923,TRUE,,
"弾き語り, 非公開",弾き語り配信,2022/04/01,,ネトゲ廃人シュプレヒコール,さつき が てんこもり,https://youtu.be/rU8jxgTkGrk?t=4041,TRUE,,
"弾き語り, 非公開",弾き語り配信,2022/04/01,,ヴィラン,てにをは,https://youtu.be/rU8jxgTkGrk?t=4454,TRUE,,
弾き語り,弾き語り配信,2022/04/09,,Hello Goodbye＆Hello,熊木杏里,https://youtu.be/WYJl5PiXCa4?t=522,TRUE,,
弾き語り,弾き語り配信,2022/04/09,,葛飾ラプソディー,堂島孝平,https://youtu.be/WYJl5PiXCa4?t=921,TRUE,,
弾き語り,弾き語り配信,2022/04/09,,オツキミリサイタル,じん,https://youtu.be/WYJl5PiXCa4?t=1172,TRUE,,
弾き語り,弾き語り配信,2022/04/09,,ユキトキ,やなぎなぎ,https://youtu.be/WYJl5PiXCa4?t=1492,TRUE,,
弾き語り,弾き語り配信,2022/04/09,,そばかす,JUDY AND MARY,https://youtu.be/WYJl5PiXCa4?t=1972,TRUE,,
弾き語り,弾き語り配信,2022/04/09,,ココロのちず,BOYSTYLE,https://youtu.be/WYJl5PiXCa4?t=2631,TRUE,,
弾き語り,弾き語り配信,2022/04/09,,ウィーアー!,きただにひろし,https://youtu.be/WYJl5PiXCa4?t=2844,TRUE,,
弾き語り,弾き語り配信,2022/04/09,,unravel,TK from 凛として時雨,https://youtu.be/WYJl5PiXCa4?t=3275,TRUE,,
弾き語り,弾き語り配信,2022/04/09,,もののけ姫,米良美一,https://youtu.be/WYJl5PiXCa4?t=3576,TRUE,,
弾き語り,弾き語り配信,2022/04/09,,瞳をとじて,平井堅,https://youtu.be/WYJl5PiXCa4?t=4036,TRUE,,
弾き語り,弾き語り配信,2022/04/09,,キラメキ,wacci,https://youtu.be/WYJl5PiXCa4?t=4822,TRUE,,
弾き語り,弾き語り配信,2022/04/19,,カブトムシ,aiko,https://youtu.be/4POnGzbjczE?t=304,TRUE,,
弾き語り,弾き語り配信,2022/04/19,,残響散歌,Aimer,https://youtu.be/4POnGzbjczE?t=779,TRUE,,
弾き語り,弾き語り配信,2022/04/19,,プラチナ,坂本真綾,https://youtu.be/4POnGzbjczE?t=983,TRUE,,
弾き語り,弾き語り配信,2022/04/19,,ひまわりの約束,秦基博,https://youtu.be/4POnGzbjczE?t=1117,TRUE,,
弾き語り,弾き語り配信,2022/04/19,,My Dearest,supercell,https://youtu.be/4POnGzbjczE?t=1657,TRUE,,
弾き語り,弾き語り配信,2022/04/19,,アイのシナリオ,CHiCO with HoneyWorks,https://youtu.be/4POnGzbjczE?t=2218,TRUE,,
弾き語り,弾き語り配信,2022/04/19,,グランドエスケープ,RADWIMPS,https://youtu.be/4POnGzbjczE?t=2700,TRUE,,
弾き語り,弾き語り配信,2022/04/19,,きゅうくらりん,いよわ,https://youtu.be/4POnGzbjczE?t=2895,TRUE,,
弾き語り,弾き語り配信,2022/04/19,,シネマ,Vivid BAD SQUAD / Ayase,https://youtu.be/4POnGzbjczE?t=3202,TRUE,,
弾き語り,弾き語り配信,2022/04/19,,むじんとうのうた,甲斐田晴,https://youtu.be/4POnGzbjczE?t=3622,TRUE,,
弾き語り,弾き語り配信,2022/04/19,,115万キロのフィルム,Official髭男dism,https://youtu.be/4POnGzbjczE?t=3952,TRUE,,
弾き語り,弾き語り配信,2022/04/19,,TSUNAMI,サザンオールスターズ,https://youtu.be/4POnGzbjczE?t=4165,TRUE,,
"メン限, アコギ以外",メン限（ピアノ弾いたり曲作ったり）,2022/04/24,1,（メン限）,,https://www.youtube.com/live/8-OseuuKwGQ?si=9jn9qzwl7iWv2PAu,FALSE,,
弾き語り,弾き語り配信,2022/04/26,1,ハナミズキ,一青窈,https://youtu.be/O7E9pHp3Q6k?t=1290,TRUE,,
弾き語り,弾き語り配信,2022/04/26,2,ドライフラワー,優里,https://youtu.be/O7E9pHp3Q6k?t=2130,TRUE,,
"コラボ, 歌唱のみ, 3D（オンライン）",甲斐田晴3Dお披露目,2022/05/06,1,アイム・ア・ビリーバー with 不破湊,SPYAIR,https://youtu.be/fetc0Exwa8M?t=1020,TRUE,不破湊,
"コラボ, 歌唱のみ, 3D（オンライン）",甲斐田晴3Dお披露目,2022/05/06,2,にっこり^^調査隊のテーマ with 本間ひまわり,ワンダーランズ×ショウタイム/ ワンダフル☆オポチュニティ！,https://youtu.be/fetc0Exwa8M?t=1362,TRUE,本間ひまわり,
"コラボ, 歌唱のみ, 3D（オンライン）",甲斐田晴3Dお披露目,2022/05/06,3,敗北の少年 with 三枝明那,kemu,https://youtu.be/fetc0Exwa8M?t=1851,TRUE,三枝明那,
"歌唱のみ, 3D（オンライン）",甲斐田晴3Dお披露目,2022/05/06,4,在るべき形,UVERworld,https://youtu.be/fetc0Exwa8M?t=2271,TRUE,,
"弾き語り, 3D（オンライン）",甲斐田晴3Dお披露目,2022/05/06,5,タイヨウのうた,Kaoru Amane,https://youtu.be/fetc0Exwa8M?t=2650,TRUE,,
"歌唱のみ, 3D（オンライン）",甲斐田晴3Dお披露目,2022/05/06,6,夢地図,40mP,https://youtu.be/fetc0Exwa8M?t=2992,TRUE,,
"歌唱のみ, 3D（オンライン）",甲斐田晴3Dお披露目,2022/05/06,7,透明な心臓が泣いていた,甲斐田晴,https://youtu.be/fetc0Exwa8M?t=3319,TRUE,,
弾き語り,弾き語り配信,2022/05/07,,Pretender,Official髭男dism,https://youtu.be/WuheAzSj-tc?t=488,TRUE,,
弾き語り,弾き語り配信,2022/05/07,,瓦礫の塔,kemu,https://youtu.be/WuheAzSj-tc?t=1064,TRUE,,
弾き語り,弾き語り配信,2022/05/07,,アイラビューアイニジュー,KEI,https://youtu.be/WuheAzSj-tc?t=1407,TRUE,,
弾き語り,弾き語り配信,2022/05/07,,サニーデイ,ラックライフ,https://youtu.be/WuheAzSj-tc?t=1719,TRUE,,
弾き語り,弾き語り配信,2022/05/07,,ファンサ,mona,https://youtu.be/WuheAzSj-tc?t=2119,TRUE,,
弾き語り,弾き語り配信,2022/05/07,,インフェルノ,Mrs.GREEN APPLE,https://youtu.be/WuheAzSj-tc?t=2603,TRUE,,
弾き語り,弾き語り配信,2022/05/07,,ここにしか咲かない花,コブクロ,https://youtu.be/WuheAzSj-tc?t=2968,TRUE,,
弾き語り,弾き語り配信,2022/05/07,,Good-bye days,YUI,https://youtu.be/WuheAzSj-tc?t=3477,TRUE,,
弾き語り,弾き語り配信,2022/05/07,,点描の唄,Mrs.GREEN APPLE,https://youtu.be/WuheAzSj-tc?t=4839,TRUE,,
弾き語り,弾き語り配信,2022/05/07,,Wishing,レム(水瀬いのり),https://youtu.be/WuheAzSj-tc?t=5413,TRUE,,
"3D（オンライン）, 歌唱のみ, コラボ",弦月藤士郎3Dお披露目,2022/05/13,,浮世の演舞,VΔLZ,https://youtu.be/EBytyBktfD0?t=641,TRUE,弦月藤士郎、長尾景,
弾き語り,弾き語り配信,2022/05/16,,ピエロ,KEI,https://youtu.be/CEOzIJu1uDY?t=256,TRUE,,
弾き語り,弾き語り配信,2022/05/16,,その未来へ,RIRIKO,https://youtu.be/CEOzIJu1uDY?t=618,TRUE,,
弾き語り,弾き語り配信,2022/05/16,,盲目の宇宙飛行士,yukkedoluce(黒髪ストロングP),https://youtu.be/CEOzIJu1uDY?t=1386,TRUE,,
弾き語り,弾き語り配信,2022/05/16,,Ghost of a smile,EGOIST,https://youtu.be/CEOzIJu1uDY?t=1799,TRUE,,
弾き語り,弾き語り配信,2022/05/16,,夢地図,40mP,https://youtu.be/CEOzIJu1uDY?t=2193,TRUE,,
弾き語り,弾き語り配信,2022/05/16,,僕ら,ラックライフ,https://youtu.be/CEOzIJu1uDY?t=2588,TRUE,,
弾き語り,弾き語り配信,2022/05/16,,透明な心臓が泣いていた,甲斐田晴,https://youtu.be/CEOzIJu1uDY?t=2938,TRUE,,
弾き語り,弾き語り配信,2022/05/16,,天使にふれたよ!,放課後ティータイム,https://youtu.be/CEOzIJu1uDY?t=3181,TRUE,,
弾き語り,弾き語り配信,2022/05/16,,ガーネット,奥華子,https://youtu.be/CEOzIJu1uDY?t=3967,TRUE,,
弾き語り,弾き語り配信,2022/05/16,,涙そうそう,夏川りみ,https://youtu.be/CEOzIJu1uDY?t=4331,TRUE,,
